id,s_kingdom,s_class,name,s_current_listing,s_english_name1,s_english_name2,s_type,s_order,s_family
ecites_species_514,Animalia,Aves,Buteo galapagoensis,II,Galapagos Hawk,"Wied's Black-tufted-ear Marmoset, Wied's Marmoset",Fauna,,
ecites_species_515,Animalia,Aves,Buteogallus aequinoctialis,II,Rufous Crab-Hawk,White Marmoset,Fauna,,
ecites_species_516,Animalia,Aves,Buteogallus anthracinus,II,"Common Black-Hawk, Cuban Black Hawk, Lesser Black-Hawk",Rio ManicorÌ© Marmoset,Fauna,,
ecites_species_517,Animalia,Aves,Buteogallus meridionalis,II,Savanna Hawk,Marca's Marmoset,Fauna,,
ecites_species_518,Animalia,Aves,Buteogallus subtilis,II,"Mangrove Black-Hawk, Pacific Black Hawk",Rio MauÌ©s Marmoset,Fauna,,
ecites_species_519,Animalia,Aves,Buteogallus urubitinga,II,Great Black-Hawk,Black-tailed Marmoset,Fauna,,
ecites_species_520,Animalia,Aves,Buteo hemilasius,II,Upland Buzzard,Black-headed Marmoset,Fauna,,
ecites_species_521,Animalia,Aves,Buteo jamaicensis,II,Red-tailed Hawk,"Black-pencilled Marmoset, Black-tufted-ear Marmoset",Fauna,,
ecites_species_522,Animalia,Aves,Buteo lagopus,II,"Rough-legged Buzzard, Rough-legged Hawk",Pygmy Marmoset,Fauna,,
ecites_species_523,Animalia,Aves,Buteo leucorrhous,II,"Rufous-thighed Hawk, White-rumped Hawk",SaterÌ© Marmoset,Fauna,,
ecites_species_524,Animalia,Aves,Buteo lineatus,II,Red-shouldered Hawk,Gang-gang Cockatoo,Fauna,,
ecites_species_525,Animalia,Aves,Buteo magnirostris,II,Roadside Hawk,"Nicobar Dove, Nicobar Pigeon",Fauna,,
ecites_species_526,Animalia,Aves,Buteo oreophilus,II,"Forest Buzzard, Mountain Buzzard",Lucifer Hummingbird,Fauna,,
ecites_species_527,Animalia,Aves,Buteo platypterus,II,Broad-winged Hawk,Beautiful Hummingbird,Fauna,,
ecites_species_528,Animalia,Aves,Buteo poecilochrous,II,"Gurney's Hawk, Puna Hawk, Variable Hawk",Boettger's Chameleon,Fauna,,
ecites_species_529,Animalia,Aves,Buteo polyosoma,II,Red-backed Hawk,Short-horned Chameleon,Fauna,,
ecites_species_530,Animalia,Aves,Buteo regalis,II,Ferruginous Hawk,Madagascar Chameleon,Fauna,,
ecites_species_531,Animalia,Aves,Buteo ridgwayi,II,"Hispaniolan Hawk, Ridgway's Hawk",Cryptic Chameleon,Fauna,,
ecites_species_532,Animalia,Aves,Buteo rufinus,II,Long-legged Buzzard,Hooded Chameleon,Fauna,,
ecites_species_533,Animalia,Aves,Buteo rufofuscus,II,Jackal Buzzard,Deceptive Chameleon,Fauna,,
ecites_species_534,Animalia,Aves,Buteo socotraensis,II,Socotra Buzzard,"Forked Chameleon, Fork-nosed Chameleon",Fauna,,
ecites_species_535,Animalia,Aves,Buteo solitarius,II,Hawaiian Hawk,Blade Chameleon,Fauna,,
ecites_species_536,Animalia,Aves,Buteo swainsoni,II,Swainson's Hawk,Perinet Chameleon,Fauna,,
ecites_species_537,Animalia,Aves,Buteo ventralis,II,"Red-tailed Hawk, Rufous-tailed Hawk",Flat-casqued Chameleon,Fauna,,
ecites_species_538,Animalia,Mammalia,Cabassous centralis,III,Northern Naked-tailed Armadillo,"Guibe's Chameleon, North-western Chameleon",Fauna,,
ecites_species_539,Animalia,Mammalia,Cabassous tatouay,III,Greater Naked-tailed Armadillo,Bizarre-nosed Chameleon,Fauna,,
ecites_species_540,Animalia,Mammalia,Cacajao calvus,I,"Bald-headed Uacari, Red-and-white Uacari",Marojejy Peak Chameleon,Fauna,,
ecites_species_541,Animalia,Mammalia,Cacajao melanocephalus,I,"Black-headed Uacari, Black Uacari",Maroantsetra Chameleon,Fauna,,
ecites_species_542,Animalia,Mammalia,Cacajao oukary,I,"Black-headed Uacari, Black Uacari",Yellow-green Chameleon,Fauna,,
ecites_species_543,Animalia,Aves,Cacatua alba,II,"Umbrella Cockatoo, White Cockatoo",Big-nosed Chameleon,Fauna,,
ecites_species_544,Animalia,Aves,Cacatua ducorpsii,II,"Ducorps's Cockatoo, Solomons Cockatoo",O'Shaughnessy's Chameleon,Fauna,,
ecites_species_545,Animalia,Aves,Cacatua galerita,II,"Greater Sulphur-crested Cockatoo, Sulphur-crested Cockatoo",Parson's Giant Chameleon,Fauna,,
ecites_species_546,Animalia,Aves,Cacatua goffiniana,I,"Goffin's Cockatoo, Tanimbar Cockatoo, Tanimbar Corella",Peltiers' Chameleon,Fauna,,
ecites_species_547,Animalia,Aves,Cacatua haematuropygia,I,"Philippine Cockatoo, Red-vented Cockatoo",Brygoo's Chameleon,Fauna,,
ecites_species_548,Animalia,Aves,Cacatua leadbeateri,II,"Leadbeater's Cockatoo, Major Mitchell's Cockatoo, Pink Cockatoo",Tarzan Chameleon,Fauna,,
ecites_species_549,Animalia,Aves,Cacatua moluccensis,I,"Moluccan Cockatoo, Salmon-crested Cockatoo",Tsaratanan Chameleon,Fauna,,
ecites_species_550,Animalia,Aves,Cacatua ophthalmica,II,Blue-eyed Cockatoo,Blunt-nosed Chameleon,Fauna,,
ecites_species_551,Animalia,Aves,Cacatua pastinator,II,Western Corella,Anna's Hummingbird,Fauna,,
ecites_species_552,Animalia,Aves,Cacatua sanguinea,II,"Bare-eyed Cockatoo, Little Cockatoo, Little Corella",Costa's Hummingbird,Fauna,,
ecites_species_553,Animalia,Aves,Cacatua sulphurea,I,"Lesser Sulphur-crested Cockatoo, Yellow-crested Cockatoo","Chilean toad, Gay's frog, Helmeted water toad",Fauna,,
ecites_species_554,Animalia,Aves,Cacatua tenuirostris,II,Long-billed Corella,Red-tailed Black-Cockatoo,Fauna,,
ecites_species_555,Animalia,Aves,Cacatuidae,I/II,Cockatoos,"Long-billed Black-Cockatoo, White-tailed Black-Cockatoo",Fauna,,
ecites_species_556,Animalia,Reptilia,Caiman crocodilus,I/II,"Brown Caiman, Common Caiman, Spectacled Caiman",Yellow-tailed Black-Cockatoo,Fauna,,
ecites_species_557,Animalia,Reptilia,Caiman crocodilus apaporiensis,I,"Apaporis River Caiman, Rio Apaporis (Spectacled) Caiman",Glossy Black-cockatoo,Fauna,,
ecites_species_558,Animalia,Reptilia,Caiman latirostris,I/II,"Broad-nosed Caiman, Broad-snouted Caiman","Short-billed Black-Cockatoo, Slender-billed Black-Cockatoo",Fauna,,
ecites_species_559,Animalia,Reptilia,Calabaria reinhardtii,II,"African Burrowing Python, Calabar Ground Python",Wedge-tailed Sabrewing,Fauna,,
ecites_species_560,Animalia,Mammalia,Callicebus aureipalatii,II,"GoldenPalace.com Monkey, Madidi titi monkey",Scaly-breasted Hummingbird,Fauna,,
ecites_species_561,Animalia,Mammalia,Callicebus baptista,II,Baptista Lake Titi,Buff-breasted Sabrewing,Fauna,,
ecites_species_562,Animalia,Mammalia,Callicebus barbarabrownae,II,"Barbara Brown's Titi, Northern Bahian Blond Titi",White-tailed Sabrewing,Fauna,,
ecites_species_563,Animalia,Mammalia,Callicebus bernhardi,II,Prince Bernhard's Titi,Lazuline Sabrewing,Fauna,,
ecites_species_564,Animalia,Mammalia,Callicebus brunneus,II,Brown Titi,Violet Sabrewing,Fauna,,
ecites_species_565,Animalia,Mammalia,Callicebus caligatus,II,"Booted Titi, Chestnut-bellied Titi",Rufous-breasted Sabrewing,Fauna,,
ecites_species_566,Animalia,Mammalia,Callicebus cinerascens,II,Ashy-black Titi,Santa Marta Sabrewing,Fauna,,
ecites_species_567,Animalia,Mammalia,Callicebus coimbrai,II,Coimbra-Filho's Titi,Rufous Sabrewing,Fauna,,
ecites_species_568,Animalia,Mammalia,Callicebus cupreus,II,Coppery Titi,Napo Sabrewing,Fauna,,
ecites_species_569,Animalia,Mammalia,Callicebus discolor,II,"Double-browed Titi, White-tailed Titi","New Guinea Viper Boa, Papuan Ground Boa",Fauna,,
ecites_species_570,Animalia,Mammalia,Callicebus donacophilus,II,White-eared Titi,Pacific Boa,Fauna,,
ecites_species_571,Animalia,Mammalia,Callicebus dubius,II,"Dubious Titi, Hershkovitz's Titi","Bevel-nosed Boa, New Guinea Bevel-nosed Boa, Solomon Ground Boa, Tree Boa",Fauna,,
ecites_species_572,Animalia,Mammalia,Callicebus hoffmannsi,II,Hoffmanns's Titi,Paulson's Bevel-nosed Boa,Fauna,,
ecites_species_573,Animalia,Mammalia,Callicebus lucifer,II,"Lucifer Titi, Widow Monkey",Palau Bevel-nosed Boa,Fauna,,
ecites_species_574,Animalia,Mammalia,Callicebus lugens,II,"Black Titi, Mourning Titi","Common Jackal, Golden Jackal",Fauna,,
ecites_species_575,Animalia,Mammalia,Callicebus medemi,II,Colombian Black-handed Titi,"Common Wolf, Grey Wolf, Timber Wolf, Wolf",Fauna,,
ecites_species_576,Animalia,Mammalia,Callicebus melanochir,II,"Coastal Black-handed Titi, Southern Bahian Masked Titi",Markhor,Fauna,,
ecites_species_577,Animalia,Mammalia,Callicebus modestus,II,Rio Beni Titi,Siberian Ibex,Fauna,,
ecites_species_578,Animalia,Mammalia,Callicebus moloch,II,"Dusky Titi, Red-bellied Titi",Chinese Serow,Fauna,,
ecites_species_579,Animalia,Mammalia,Callicebus nigrifrons,II,Black-fronted Titi,Red Serow,Fauna,,
ecites_species_580,Animalia,Mammalia,Callicebus oenanthe,II,"Andean Titi, Rio Mayo Titi","Mainland Serow, Serow, Southern Serow, Sumatran Serow",Fauna,,
ecites_species_581,Animalia,Mammalia,Callicebus olallae,II,"Beni Titi, Olalla Brothers' Titi",Himalayan Serow,Fauna,,
ecites_species_582,Animalia,Mammalia,Callicebus ornatus,II,Ornate Titi,"Assam Rabbit, Hispid Hare, Hispid Rabbit",Fauna,,
ecites_species_583,Animalia,Mammalia,Callicebus pallescens,II,"Pallid Titi, White-coated Titi","African Caracal, Asian Caracal, Caracal, Desert Lynx",Fauna,,
ecites_species_584,Animalia,Mammalia,Callicebus personatus,II,"Atlantic Titi, Masked Titi","Common Caracara, Crested Caracara, Southern Caracara",Fauna,,
ecites_species_585,Animalia,Mammalia,Callicebus purinus,II,"Red-crowned Titi, Rio Purus Titi",Red Siskin,Fauna,,
ecites_species_586,Animalia,Mammalia,Callicebus regulus,II,"Kinglet Titi, Red-headed Titi",Yellow-faced Siskin,Fauna,,
ecites_species_587,Animalia,Mammalia,Callicebus stephennashi,II,Stephen Nash's Titi,Loggerhead,Fauna,,
ecites_species_588,Animalia,Mammalia,Callicebus torquatus,II,"Collared Titi, Widow Titi","Fly River Turtle, New Guinea Plateless Turtle, Pig-nosed Turtle, Pitted-shell Turtle",Fauna,,
ecites_species_589,Animalia,Mammalia,Callimico goeldii,I,"Goeldi's Marmoset, Goeldi's Monkey, Goeldi's Tamarin","Chacoan Peccary, Tagua",Fauna,,
ecites_species_590,Animalia,Aves,Calliphlox amethystina,II,Amethyst Woodstar,"Bay Cat, Bornean Marbled Cat",Fauna,,
ecites_species_591,Animalia,Aves,Calliphlox bryantae,II,Magenta-throated Woodstar,"Asian Golden Cat, Golden Cat, Temminck's Cat",Fauna,,
ecites_species_592,Animalia,Aves,Calliphlox evelynae,II,Bahama Woodstar,"Cheer Pheasant, Chir Pheasant, Wallich's Pheasant",Fauna,,
ecites_species_593,Animalia,Aves,Calliphlox mitchellii,II,Purple-throated Woodstar,"Brown Pale-fronted Capuchin, White-fronted Capuchin",Fauna,,
ecites_species_594,Animalia,Mammalia,Callithrix acariensis,II,Rio AcarÌ_ Marmoset,"Black-capped Capuchin, Tufted Capuchin",Fauna,,
ecites_species_595,Animalia,Mammalia,Callithrix argentata,II,Silvery Marmoset,"White-faced Capuchin, White-throated Capuchin",Fauna,,
ecites_species_596,Animalia,Mammalia,Callithrix aurita,I,"Buffy-tufted-ear Marmoset, White-eared Marmoset",Kaapori Capuchin,Fauna,,
ecites_species_597,Animalia,Mammalia,Callithrix chrysoleuca,II,"Gold-and-white Marmoset, Golden-white Tassel-ear Marmoset",Black-striped Tufted Capuchin,Fauna,,
ecites_species_598,Animalia,Mammalia,Callithrix emiliae,II,Emilia's Marmoset,Black Tufted Capuchin,Fauna,,
ecites_species_599,Animalia,Mammalia,Callithrix flaviceps,I,Buffy-headed Marmoset,Weeper Capuchin,Fauna,,
ecites_species_600,Animalia,Mammalia,Callithrix geoffroyi,II,"Geoffroy's Tufted-ear Marmoset, White-fronted Marmoset","Golden-bellied Tufted Capuchin, Yellow-breasted Capuchin",Fauna,,
ecites_species_601,Animalia,Mammalia,Callithrix humeralifera,II,"Black-and-white Tassel-ear Marmoset, Tassel-eared Marmoset","African Spurred Tortoise, Grooved Tortoise",Fauna,,
ecites_species_602,Animalia,Mammalia,Callithrix humilis,II,"Black-crowned Dwarf Marmoset, Roosmalen's Dwarf Marmoset",Brooke's duiker,Fauna,,
ecites_species_603,Animalia,Mammalia,Callithrix intermedia,II,"Aripuana Marmoset, Hershkovitz's Marmoset",Bay Duiker,Fauna,,
ecites_species_604,Animalia,Mammalia,Callithrix jacchus,II,"Common Marmoset, White-tufted-ear Marmoset",Jentink's Duiker,Fauna,,
ecites_species_605,Animalia,Mammalia,Callithrix kuhlii,II,"Wied's Black-tufted-ear Marmoset, Wied's Marmoset",Ogilby's Duiker,Fauna,,
ecites_species_606,Animalia,Mammalia,Callithrix leucippe,II,White Marmoset,Yellow-backed Duiker,Fauna,,
ecites_species_607,Animalia,Mammalia,Callithrix manicorensis,II,Rio ManicorÌ© Marmoset,"Banded Duiker, Zebra Antelope, Zebra Duiker",Fauna,,
ecites_species_608,Animalia,Mammalia,Callithrix marcai,II,Marca's Marmoset,"Amazonian Umbrellabird, Ornate Umbrellabird",Fauna,,
ecites_species_609,Animalia,Mammalia,Callithrix mauesi,II,Rio MauÌ©s Marmoset,Long-wattled Umbrellabird,Fauna,,
ecites_species_610,Animalia,Mammalia,Callithrix melanura,II,Black-tailed Marmoset,"Grass Rhinoceros, Square-lipped Rhinoceros, White Rhinoceros",Fauna,,
ecites_species_611,Animalia,Mammalia,Callithrix nigriceps,II,Black-headed Marmoset,"Southern Square-lipped Rhinoceros, Southern White Rhinoceros",Fauna,,
ecites_species_612,Animalia,Mammalia,Callithrix penicillata,II,"Black-pencilled Marmoset, Black-tufted-ear Marmoset","Bockadam, Dog-faced Water Snake",Fauna,,
ecites_species_613,Animalia,Mammalia,Callithrix pygmaea,II,Pygmy Marmoset,Agile Mangabey,Fauna,,
ecites_species_614,Animalia,Mammalia,Callithrix saterei,II,SaterÌ© Marmoset,Sooty Mangabey,Fauna,,
ecites_species_615,Animalia,Aves,Callocephalon fimbriatum,II,Gang-gang Cockatoo,Tana River Mangabey,Fauna,,
ecites_species_616,Animalia,Aves,Caloenas nicobarica,I,"Nicobar Dove, Nicobar Pigeon","Collared Mangabey, Red-capped Mangabey, White-collared Mangabey",Fauna,,
ecites_species_617,Animalia,Aves,Calothorax lucifer,II,Lucifer Hummingbird,"Sykes's Monkey, White-throated Monkey",Fauna,,
ecites_species_618,Animalia,Aves,Calothorax pulcher,II,Beautiful Hummingbird,"Black-cheeked White-nosed Monkey, Red-tailed Monkey, Redtail Monkey, Schmidt's Guenon",Fauna,,
ecites_species_619,Animalia,Reptilia,Calumma boettgeri,II,Boettger's Chameleon,"Diana Guenon, Diana Monkey",Fauna,,
ecites_species_620,Animalia,Reptilia,Calumma brevicorne,II,Short-horned Chameleon,Silver Monkey,Fauna,,
ecites_species_621,Animalia,Reptilia,Calumma capuroni,II,Madagascar Chameleon,"Dryas Guenon, Dryas Monkey",Fauna,,
ecites_species_622,Animalia,Reptilia,Calumma crypticum,II,Cryptic Chameleon,"Red-bellied Guenon, Red-bellied Monkey, White-throated Guenon, White-throated Monkey",Fauna,,
ecites_species_623,Animalia,Reptilia,Calumma cucullatum,II,Hooded Chameleon,"Red-eared Guenon, Red-eared Monkey, Russet-eared Guenon",Fauna,,
ecites_species_624,Animalia,Reptilia,Calumma fallax,II,Deceptive Chameleon,"Owl-faced Guenon, Owl-faced Monkey",Fauna,,
ecites_species_625,Animalia,Reptilia,Calumma furcifer,II,"Forked Chameleon, Fork-nosed Chameleon",Golden Monkey,Fauna,,
ecites_species_626,Animalia,Reptilia,Calumma gallus,II,Blade Chameleon,"L'Hoest's Monkey, Mountain Monkey",Fauna,,
ecites_species_627,Animalia,Reptilia,Calumma gastrotaenia,II,Perinet Chameleon,Lowe's Monkey,Fauna,,
ecites_species_628,Animalia,Reptilia,Calumma globifer,II,Flat-casqued Chameleon,Mona Monkey,Fauna,,
ecites_species_629,Animalia,Reptilia,Calumma guibei,II,"Guibe's Chameleon, North-western Chameleon",De Brazza's Monkey,Fauna,,
ecites_species_630,Animalia,Reptilia,Calumma hafahafa,II,Bizarre-nosed Chameleon,"Lesser Spot-nosed Guenon, Lesser White-nosed Guenon, Lesser White-nosed Monkey, Spot-nosed Monkey",Fauna,,
ecites_species_631,Animalia,Reptilia,Calumma jejy,II,Marojejy Peak Chameleon,"Preuss's Guenon, Preuss's Monkey",Fauna,,
ecites_species_632,Animalia,Reptilia,Calumma linotum,II,Maroantsetra Chameleon,Roloway Monkey,Fauna,,
ecites_species_633,Animalia,Reptilia,Calumma malthe,II,Yellow-green Chameleon,"Sclater's Guenon, White-throated Guenon",Fauna,,
ecites_species_634,Animalia,Reptilia,Calumma nasutum,II,Big-nosed Chameleon,Wolf's Monkey,Fauna,,
ecites_species_635,Animalia,Reptilia,Calumma oshaughnessyi,II,O'Shaughnessy's Chameleon,"Common Zorro, Crab-eating Zorro, Forest Fox",Fauna,,
ecites_species_636,Animalia,Reptilia,Calumma parsonii,II,Parson's Giant Chameleon,"Bactrian Deer, Bactrian Red Deer, Bactrian Wapiti, Bokharan Deer, Bukhara Deer",Fauna,,
ecites_species_637,Animalia,Reptilia,Calumma peltierorum,II,Peltiers' Chameleon,"Atlas Deer, Barbary Deer, Barbary Red Deer, Barbary Stag",Fauna,,
ecites_species_638,Animalia,Reptilia,Calumma peyrierasi,II,Brygoo's Chameleon,"Hangul, Kashmir Deer, Kashmir Red Deer, Kashmir Stag",Fauna,,
ecites_species_639,Animalia,Reptilia,Calumma tarzan,II,Tarzan Chameleon,Santa Marta Woodstar,Fauna,,
ecites_species_640,Animalia,Reptilia,Calumma tsaratananense,II,Tsaratanan Chameleon,Esmeraldas Woodstar,Fauna,,
ecites_species_641,Animalia,Reptilia,Calumma tsycorne,II,Blunt-nosed Chameleon,Little Woodstar,Fauna,,
ecites_species_642,Animalia,Aves,Calypte anna,II,Anna's Hummingbird,"Andean Hairy Armadillo, Bolivian Hairy Armadillo, Hairy Armadillo",Fauna,,
ecites_species_643,Animalia,Aves,Calypte costae,II,Costa's Hummingbird,Black Lory,Fauna,,
ecites_species_644,Animalia,Amphibia,Calyptocephalella gayi,III,"Chilean toad, Gay's frog, Helmeted water toad",Cardinal Lory,Fauna,,
ecites_species_645,Animalia,Aves,Calyptorhynchus banksii,II,Red-tailed Black-Cockatoo,"Brown Lory, Duyvenbode's Lory",Fauna,,
ecites_species_646,Animalia,Aves,Calyptorhynchus baudinii,II,"Long-billed Black-Cockatoo, White-tailed Black-Cockatoo","Greater Streaked Lory, Yellow-streaked Lory",Fauna,,
ecites_species_647,Animalia,Aves,Calyptorhynchus funereus,II,Yellow-tailed Black-Cockatoo,Rainbow-bearded Thornbill,Fauna,,
ecites_species_648,Animalia,Aves,Calyptorhynchus lathami,II,Glossy Black-cockatoo,Bronze-tailed Thornbill,Fauna,,
ecites_species_649,Animalia,Aves,Calyptorhynchus latirostris,II,"Short-billed Black-Cockatoo, Slender-billed Black-Cockatoo",Olivaceous Thornbill,Fauna,,
ecites_species_650,Animalia,Aves,Campylopterus curvipennis,II,Wedge-tailed Sabrewing,Rufous-capped Thornbill,Fauna,,
ecites_species_651,Animalia,Aves,Campylopterus cuvierii,II,Scaly-breasted Hummingbird,Blue-mantled Thornbill,Fauna,,
ecites_species_652,Animalia,Aves,Campylopterus duidae,II,Buff-breasted Sabrewing,White-vented Plumeleteer,Fauna,,
ecites_species_653,Animalia,Aves,Campylopterus ensipennis,II,White-tailed Sabrewing,Bronze-tailed Plumeleteer,Fauna,,
ecites_species_654,Animalia,Aves,Campylopterus falcatus,II,Lazuline Sabrewing,"African Chameleon, Sahel Chameleon",Fauna,,
ecites_species_655,Animalia,Aves,Campylopterus hemileucurus,II,Violet Sabrewing,"Anchieta's Chameleon, Angola Chameleon, Double-scaled Chameleon",Fauna,,
ecites_species_656,Animalia,Aves,Campylopterus hyperythrus,II,Rufous-breasted Sabrewing,Arabian Chameleon,Fauna,,
ecites_species_657,Animalia,Aves,Campylopterus largipennis,II,Grey-breasted Sabrewing,Awash Chameleon,Fauna,,
ecites_species_658,Animalia,Aves,Campylopterus phainopeplus,II,Santa Marta Sabrewing,Veiled Chameleon,Fauna,,
ecites_species_659,Animalia,Aves,Campylopterus rufus,II,Rufous Sabrewing,"Common Chameleon, European Chameleon, Mediterranean Chameleon",Fauna,,
ecites_species_660,Animalia,Aves,Campylopterus villaviscensio,II,Napo Sabrewing,"Bocage's Chameleon, Flap-necked Chameleon",Fauna,,
ecites_species_661,Animalia,Reptilia,Candoia aspera,II,"New Guinea Viper Boa, Papuan Ground Boa","Graceful Chameleon, Gracile Chameleon, Slender Chameleon, Spur-heeled Chameleon",Fauna,,
ecites_species_662,Animalia,Reptilia,Candoia bibroni,II,Pacific Boa,Smooth Chameleon,Fauna,,
ecites_species_663,Animalia,Reptilia,Candoia carinata,II,"Bevel-nosed Boa, New Guinea Bevel-nosed Boa, Solomon Ground Boa, Tree Boa","Monarch Chameleon, Socotra Chameleon",Fauna,,
ecites_species_664,Animalia,Reptilia,Candoia paulsoni,II,Paulson's Bevel-nosed Boa,"Desert Chameleon, Namaqua Chameleon",Fauna,,
ecites_species_665,Animalia,Reptilia,Candoia superciliosa,II,Palau Bevel-nosed Boa,Senegal Chameleon,Fauna,,
ecites_species_666,Animalia,Mammalia,Canis aureus,III,"Common Jackal, Golden Jackal",Indian Chameleon,Fauna,,
ecites_species_667,Animalia,Mammalia,Canis lupus,I/II,"Common Wolf, Grey Wolf, Timber Wolf, Wolf",Rubber Boa,Fauna,,
ecites_species_668,Animalia,Mammalia,Capra falconeri,I,Markhor,New Caledonian Lorikeet,Fauna,,
ecites_species_669,Animalia,Mammalia,Capra hircus aegagrus,III,Wild Goat,Duchess Lorikeet,Fauna,,
ecites_species_670,Animalia,Mammalia,Capra sibirica,III,Siberian Ibex,Meek's Lorikeet,Fauna,,
ecites_species_671,Animalia,Mammalia,Capricornis milneedwardsii,I,Chinese Serow,"Streaked Lorikeet, Striated Lorikeet",Fauna,,
ecites_species_672,Animalia,Mammalia,Capricornis rubidus,I,Red Serow,Palm Lorikeet,Fauna,,
ecites_species_673,Animalia,Mammalia,Capricornis sumatraensis,I,"Mainland Serow, Serow, Southern Serow, Sumatran Serow",Papuan Lorikeet,Fauna,,
ecites_species_674,Animalia,Mammalia,Capricornis thar,I,Himalayan Serow,Red-flanked Lorikeet,Fauna,,
ecites_species_675,Animalia,Mammalia,Caprolagus hispidus,I,"Assam Rabbit, Hispid Hare, Hispid Rabbit","Fairy Lorikeet, Little Red Lorikeet",Fauna,,
ecites_species_676,Animalia,Mammalia,Caracal caracal,I/II,"African Caracal, Asian Caracal, Caracal, Desert Lynx",Red-chinned Lorikeet,Fauna,,
ecites_species_677,Animalia,Aves,Caracara plancus,II,"Common Caracara, Crested Caracara, Southern Caracara",Blue-fronted Lorikeet,Fauna,,
ecites_species_678,Animalia,Aves,Carduelis cucullata,I,Red Siskin,"Pygmy Lorikeet, Wilhelmina's Lorikeet",Fauna,,
ecites_species_679,Animalia,Aves,Carduelis yarrellii,II,Yellow-faced Siskin,Spiny Desert Dwarf Lemur,Fauna,,
ecites_species_680,Animalia,Reptilia,Caretta caretta,I,Loggerhead,Furry-eared Dwarf Lemur,Fauna,,
ecites_species_681,Animalia,Reptilia,Carettochelys insculpta,II,"Fly River Turtle, New Guinea Plateless Turtle, Pig-nosed Turtle, Pitted-shell Turtle",Greater Dwarf Lemur,Fauna,,
ecites_species_682,Animalia,Reptilia,Casarea dussumieri,I,Round Island Keel-scaled Boa,Fat-tailed Dwarf Lemur,Fauna,,
ecites_species_683,Animalia,Mammalia,Catagonus wagneri,I,"Chacoan Peccary, Tagua",Lesser Iron-grey Dwarf Lemur,Fauna,,
ecites_species_684,Animalia,Mammalia,Catopuma badia,II,"Bay Cat, Bornean Marbled Cat","Greater Iron-grey Dwarf Lemur, Large Iron-grey Dwarf Lemur",Fauna,,
ecites_species_685,Animalia,Mammalia,Catopuma temminckii,I,"Asian Golden Cat, Golden Cat, Temminck's Cat",Sibree's Dwarf Lemur,Fauna,,
ecites_species_686,Animalia,Aves,Catreus wallichii,I,"Cheer Pheasant, Chir Pheasant, Wallich's Pheasant","African Swallow-tailed Kite, Scissor-tailed Kite",Fauna,,
ecites_species_687,Animalia,Mammalia,Cebus albifrons,II,"Brown Pale-fronted Capuchin, White-fronted Capuchin",Roti Snake-necked Turtle,Fauna,,
ecites_species_688,Animalia,Mammalia,Cebus apella,II,"Black-capped Capuchin, Tufted Capuchin",Green Turtle,Fauna,,
ecites_species_689,Animalia,Mammalia,Cebus capucinus,II,"White-faced Capuchin, White-throated Capuchin","Red-footed Tortoise, Wood Tortoise",Fauna,,
ecites_species_690,Animalia,Mammalia,Cebus kaapori,II,Kaapori Capuchin,"Brazilian Giant Tortoise, Forest Tortoise, South American Tortoise, South American Yellow-footed Tortoise, Yellow-footed Tortoise",Fauna,,
ecites_species_691,Animalia,Mammalia,Cebus libidinosus,II,Black-striped Tufted Capuchin,Galapagos Giant Tortoise,Fauna,,
ecites_species_692,Animalia,Mammalia,Cebus nigritus,II,Black Tufted Capuchin,"Angulated Tortoise, Bowsprit Tortoise, South African Bowsprit Tortoise",Fauna,,
ecites_species_693,Animalia,Mammalia,Cebus olivaceus,II,Weeper Capuchin,Short-tailed Chinchilla,Fauna,,
ecites_species_694,Animalia,Mammalia,Cebus xanthosternos,II,"Golden-bellied Tufted Capuchin, Yellow-breasted Capuchin",Long-tailed Chinchilla,Fauna,,
ecites_species_695,Animalia,Reptilia,Centrochelys sulcata,II,"African Spurred Tortoise, Grooved Tortoise","Red-nosed Saki, White-nosed Bearded Saki, White-nosed Saki",Fauna,,
ecites_species_696,Animalia,Mammalia,Cephalophus brookei,II,Brooke's duiker,"Bearded Saki, Red-backed Bearded Saki, Tawny-olive Bearded Saki",Fauna,,
ecites_species_697,Animalia,Mammalia,Cephalophus dorsalis,II,Bay Duiker,Brown-backed Bearded Saki,Fauna,,
ecites_species_698,Animalia,Mammalia,Cephalophus jentinki,I,Jentink's Duiker,"Bearded Saki, Black Saki",Fauna,,
ecites_species_699,Animalia,Mammalia,Cephalophus ogilbyi,II,Ogilby's Duiker,Uta Hick's Bearded Saki,Fauna,,
ecites_species_700,Animalia,Mammalia,Cephalophus silvicultor,II,Yellow-backed Duiker,"Southeast Asian Narrow-headed Softshell Turtle, Striped Giant Soft-shelled Turtle, Striped Narrow-headed Softshell Turtle",Fauna,,
ecites_species_701,Animalia,Mammalia,Cephalophus zebra,II,"Banded Duiker, Zebra Antelope, Zebra Duiker",Indian Narrow-headed Softshell Turtle,Fauna,,
ecites_species_702,Animalia,Aves,Cephalopterus ornatus,III,"Amazonian Umbrellabird, Ornate Umbrellabird",Burmese Narrow-headed Softshell Turtle,Fauna,,
ecites_species_703,Animalia,Aves,Cephalopterus penduliger,III,Long-wattled Umbrellabird,"Asian Houbara, Asian Houbara Bustard, MacQueen's Bustard",Fauna,,
ecites_species_704,Animalia,Mammalia,Ceratotherium simum,I/II,"Grass Rhinoceros, Square-lipped Rhinoceros, White Rhinoceros","Houbara, Houbara Bustard",Fauna,,
