id,s_kingdom,s_class,name,s_current_listing,s_english_name1,s_english_name2,s_type,s_order,s_family
ecites_species_36,Animalia,Aves,Accipiter poliogaster,II,"Grey-bellied Goshawk, Grey-bellied Hawk","Rodrigues Brush-Warbler, Rodrigues Warbler",Fauna,,
ecites_species_37,Animalia,Aves,Accipiter princeps,II,"Grey-headed Goshawk, New Britain Goshawk",Addax,Fauna,,
ecites_species_38,Animalia,Aves,Accipiter rhodogaster,II,Vinous-breasted Sparrowhawk,Speckled Hummingbird,Fauna,,
ecites_species_39,Animalia,Aves,Accipiter rufitorques,II,"Fiji Goshawk, Fiji Sparrowhawk",Brazil-nut Poison Frog,Fauna,,
ecites_species_40,Animalia,Aves,Accipiter rufiventris,II,Rufous-chested Sparrowhawk,Splash-backed Poison Frog,Fauna,,
ecites_species_41,Animalia,Aves,Accipiter soloensis,II,"Chinese Goshawk, Chinese Sparrowhawk, Grey Frog Hawk","Amazonian Poison-Arrow Frog, Rio Madeira Poison Frog",Fauna,,
ecites_species_42,Animalia,Aves,Accipiter striatus,II,Sharp-shinned Hawk,"Northern Saw-whet Owl, Saw-whet Owl",Fauna,,
ecites_species_43,Animalia,Aves,Accipiter superciliosus,II,"Tiny Hawk, Tiny Sparrowhawk","Boreal Owl, Tengmalm's Owl",Fauna,,
ecites_species_44,Animalia,Aves,Accipiter tachiro,II,African Goshawk,Buff-fronted Owl,Fauna,,
ecites_species_45,Animalia,Aves,Accipiter toussenelii,II,"Red-chested Goshawk, Red-chested Hawk",Unspotted Saw-whet Owl,Fauna,,
ecites_species_46,Animalia,Aves,Accipiter trinotatus,II,"Spot-tailed Goshawk, Spot-tailed Sparrowhawk","Black Vulture, Cinereous Vulture",Fauna,,
ecites_species_47,Animalia,Aves,Accipiter trivirgatus,II,"Asian Crested Goshawk, Crested Goshawk","Black Bustard, Black Korhaan",Fauna,,
ecites_species_48,Animalia,Aves,Accipiter virgatus,II,"Besra, Besra Sparrowhawk",White-quilled Bustard,Fauna,,
ecites_species_49,Animalia,Aves,Accipitridae,I/II,"Hawks, Eagles",Blue-sided Leaf Frog,Fauna,,
ecites_species_50,Animalia,Mammalia,Acerodon celebensis,II,"Signal-winged Acerodon, Sulawesi Flying-fox, Sulawesi Fruit Bat",Red-eyed Leaf Frog,Fauna,,
ecites_species_51,Animalia,Mammalia,Acerodon humilis,II,"Talaud Acerodon, Talaud Flying-fox, Talaud Fruit Bat","Black-eyed leaf frog, Morelet's Leaf Frog",Fauna,,
ecites_species_52,Animalia,Mammalia,Acerodon jubatus,I,Golden-capped Fruit Bat,Misfit Leaf Frog,Fauna,,
ecites_species_53,Animalia,Mammalia,Acerodon leucotis,II,"Palawan Flying-fox, Palawan Fruit Bat",Gliding Leaf Frog,Fauna,,
